"mim_val","mom_val","a1_val","gam_val","mean_TM","LCI_Tm","UCI_Tm","mean_Rj","LCI_Rj","UCI_Rj","Gift","Neutral","LCI_Neutral","UCI_Neutral","M","Beta","M_m","F_m","Mf_nupt","Mf_no_nput","Replicates"
0.001,0.001,1,1.8,0.144221462666667,0.140517444333333,0.147520616,-0.004850263,-0.00820342933333333,-0.00162051866666667,0.162944147333333,0.00417138433333333,0.000174816333333333,0.00800835133333333,0.874088234333333,1.49409694033333,0.698747137333333,1.11694545966667,0.372985905,2.22635861533333,3000
0.001,0.021,1,1.8,0.132756493,0.129041711333333,0.136499383,0.000460195,-0.00353437166666667,0.004133644,0.154334881666667,-9.40823333333332e-05,-0.00412472366666667,0.00376083666666667,0.879640144666667,1.47981929833333,0.688272316,1.14118273033333,0.351161039666667,2.34249183633333,3000
0.001,0.041,1,1.8,0.121784948666667,0.118056245333333,0.125795360333333,0.00558035433333333,0.00182436033333333,0.009535998,0.146277230666667,-0.003101802,-0.00691879333333333,0.000566359,0.882208571333333,1.48550044566667,0.672972236333333,1.166878818,0.329023396666667,2.45871919066667,3000
0.001,0.061,1,1.8,0.107897533333333,0.103889602,0.111411788333333,0.016329673,0.0120110033333333,0.0207025323333333,0.137889551,0.003611852,2.4183333333333e-05,0.00748278866666667,0.893148705666667,1.474607675,0.664991708333333,1.20051659133333,0.306548880333333,2.58982996966667,3000
0.001,0.081,1,1.8,0.0910157076666667,0.0873371703333333,0.09499516,0.0184029903333333,0.014498589,0.0226017236666667,0.126585306,0.00207310866666667,-0.001893505,0.00573489166666667,0.889221936666667,1.462185934,0.639865011,1.22073559833333,0.280850946333333,2.73123443266667,3000
0.021,0.001,1,1.8,0.160750585666667,0.157568768666667,0.163900287666667,-0.0225082316666667,-0.0260488506666667,-0.0187154146666667,0.170530970333333,0.000823948666666667,-0.00290846533333333,0.00472692366666667,0.863265965,1.53564761733333,0.705680118,1.090212217,0.395568327,2.123606623,3000
0.021,0.021,1,1.8,0.147035137333333,0.143692132333333,0.150507058333333,-0.00962233333333333,-0.013257681,-0.005832263,0.16317179,9.66940000000001e-05,-0.00356935066666667,0.004034011,0.870044943333333,1.52875705333333,0.698412223333333,1.113407798,0.375532163,2.21747903566667,3000
0.021,0.041,1,1.8,0.128554865,0.125101036666667,0.132270189,-0.003630884,-0.00756422733333333,0.000259317,0.150013848,-0.004621304,-0.008371744,-0.000532031333333333,0.876905868333333,1.509657593,0.687019653666667,1.14073335433333,0.343951305666667,2.35481403866667,3000
0.021,0.061,1,1.8,0.121567216333333,0.117844366666667,0.125292434666667,0.01336521,0.00906487733333333,0.017575124,0.146302829333333,0.00242090466666667,-0.001382137,0.00646169033333333,0.884924328333333,1.513123577,0.679073382,1.17083926966667,0.32785341,2.45660415033333,3000
0.021,0.081,1,1.8,0.0998344996666667,0.0959022443333333,0.103854781,0.008227199,0.00417941933333333,0.0121457223333333,0.132124844,0.006342906,0.002518608,0.0107234806666667,0.885951887666667,1.488077607,0.659082891333333,1.19459886166667,0.297247870666667,2.60370315366667,3000
