"a1_val","gam_val","mean_TM","LCI_Tm","UCI_Tm","mean_Rj","LCI_Rj","UCI_Rj","Gift","Neutral","LCI_Neutral","UCI_Neutral","M","Beta","M_m","F_m","Mf_nupt","Mf_no_nput","Replicates"
1.2,0,-0.07186399,-0.073762131,-0.070022317,0,0,0,0.0093898596,-0.00025141,-0.002866644,0.0023288796,0.8579267232,0.8164334566,0.5991621502,1.0683783078,0.0280064994,2.9571841796,5000
1.2,0.1,-0.072520108,-0.0745128136,-0.0705937798,0,0,0,0.0105655604,-0.0004592438,-0.0032366924,0.0024219354,0.8565092892,0.819633061,0.5974200642,1.0676397798,0.0317813686,2.9430717782,5000
1.2,0.2,-0.0660955964,-0.0681465602,-0.0640722988,0,0,0,0.0126999408,0.0018632264,-0.0008787008,0.0045203386,0.8554978208,0.8281369194,0.5973179582,1.0679324128,0.0383949854,2.9396768566,5000
1.2,0.3,-0.0621898574,-0.0641619112,-0.060067248,0,0,0,0.0152810116,0.0013421124,-0.001473319,0.004179708,0.855263605,0.8366811164,0.6005286432,1.0667407872,0.0449319196,2.9233724316,5000
1.2,0.4,-0.0541401982,-0.0561096538,-0.0520284302,0,0,0,0.0180117242,0.0011640076,-0.0015988388,0.0040263908,0.8529110274,0.8461354762,0.5969220416,1.0672605846,0.0532779464,2.9127512476,5000
1.2,0.5,-0.050250879,-0.0524168104,-0.0480898346,0,0,0,0.0218194644,-0.00042184,-0.0031567956,0.0023805222,0.8521817466,0.8565871852,0.6005090822,1.0651365532,0.0641049116,2.886082473,5000
1.2,0.6,-0.0411406586,-0.0433685944,-0.0388720634,0,0,0,0.0263179634,-0.0031390472,-0.0058616384,-0.0002321668,0.8490475678,0.8787215714,0.5988105944,1.065194145,0.07605696,2.8618324568,5000
1.2,0.7,-0.0311919926,-0.0334745294,-0.0289579952,0,0,0,0.032310099,0.0027786656,-0.0001630476,0.005529799,0.8467964848,0.8975939218,0.6003469892,1.0630601988,0.092064801,2.8302162784,5000
1.2,0.8,-0.022316335,-0.0244867844,-0.0200208258,0,0,0,0.0360441848,-0.0011917796,-0.0038122406,0.0016687756,0.844688758,0.918965636,0.6021744478,1.0619459606,0.102922763,2.807408395,5000
1.2,0.9,-0.0085702202,-0.0110216318,-0.0060939798,0,0,0,0.0452432944,0.002950622,0.000124688,0.005719696,0.8422504124,0.9528130116,0.605231152,1.0605760974,0.1281928782,2.7551842634,5000
1.2,1,0.0033891816,0.00092759,0.005884108,0,0,0,0.0519262366,0.0018596792,-0.0007920646,0.0045951596,0.8371251988,0.9835191336,0.6032577086,1.0583991852,0.1459615728,2.722687454,5000
1.2,1.1,0.0139127564,0.0115364702,0.0165304654,0,0,0,0.0588371026,-0.0032860852,-0.006107474,-0.000658462,0.8331144716,1.019937259,0.6047233282,1.0558877416,0.164487902,2.6852856522,5000
1.2,1.2,0.0291277802,0.0263977246,0.03199652,0,0,0,0.0683219546,0.0016879324,-0.001157778,0.0044944864,0.8292557672,1.0638124714,0.6083830162,1.052172898,0.1885284978,2.6251614906,5000
1.2,1.3,0.043926944,0.041274007,0.0466267552,0,0,0,0.0769782254,0.0013122174,-0.0015951678,0.0040794398,0.8266146146,1.1097550782,0.6119277658,1.0515276456,0.2124595386,2.5791523358,5000
1.2,1.4,0.0568485948,0.0542115628,0.0594522538,0,0,0,0.0843452398,-0.0034452574,-0.0062236862,-0.0004521638,0.8223844414,1.1503016822,0.613203635,1.0482644862,0.2297322106,2.5313626802,5000
1.2,1.5,0.0755701808,0.0729341708,0.0780907946,0,0,0,0.0954937112,0.0017639706,-0.0013491518,0.004701962,0.8179195324,1.2096911594,0.6172873924,1.0446600266,0.2592821568,2.469837896,5000
1.2,1.6,0.0812935442,0.0784147614,0.0838698258,0,0,0,0.098485319,0.0008923422,-0.0019348626,0.003921945,0.8147492726,1.2428839716,0.6165265616,1.0437312918,0.2666618022,2.4562787096,5000
1.2,1.7,0.09828484,0.0956830318,0.1009349982,0,0,0,0.108469746,0.002883573,9.16540000000009e-06,0.005901875,0.8093315872,1.3022969718,0.6185790114,1.0392146636,0.2915945786,2.3908048714,5000
1.2,1.8,0.109092725,0.1063784786,0.111786682,0,0,0,0.1141775088,0.000147393,-0.0026488316,0.0030117274,0.8080047082,1.3427157404,0.6231199622,1.038096132,0.3063398324,2.3567569072,5000
1.2,1.9,0.1116132532,0.1090542716,0.1142162616,0,0,0,0.1168400648,-0.003164726,-0.0062456192,-0.000228174,0.8075330696,1.3693027236,0.626017343,1.0371996446,0.3124471608,2.341060071,5000
1.2,2,0.1242883958,0.121858743,0.1266953704,0,0,0,0.1236801038,-0.00120916,-0.0043115694,0.0018516868,0.8030529074,1.4189658256,0.6274458476,1.0329951014,0.329759469,2.2977619096,5000
1,0,-0.072188043,-0.0742330968,-0.0703056242,0,0,0,0.0113030116,0.0014190816,-0.0013130768,0.0042938346,0.8583045224,0.812261996,0.5984161266,1.0684545952,0.0336877608,2.9464734952,5000
1,0.1,-0.0671035244,-0.0691393198,-0.0651622564,0,0,0,0.0134069444,-0.0004082824,-0.0031790642,0.0024173574,0.8569988442,0.821398772,0.5994999976,1.0675076056,0.0397534138,2.9341720822,5000
1,0.2,-0.0648943052,-0.067070514,-0.0628110552,0,0,0,0.0161668742,-0.0005990964,-0.003529816,0.0019741396,0.8555131116,0.8283101844,0.5978508024,1.0675451008,0.0477089796,2.9240241622,5000
1,0.3,-0.0602166282,-0.0623423128,-0.058203456,0,0,0,0.0191981782,0.0018762666,-0.0011813018,0.0047220342,0.854203457,0.841829904,0.598516697,1.0675848594,0.0569497258,2.9112709348,5000
1,0.4,-0.0512544042,-0.053327204,-0.048948291,0,0,0,0.023437984,-0.0002940548,-0.0030834048,0.0026383044,0.8533842934,0.8516948528,0.6002127134,1.0664226818,0.0684081058,2.8872835688,5000
1,0.5,-0.0426610016,-0.044927493,-0.0405591542,0,0,0,0.029783307,0.0004175908,-0.0023923544,0.0031384656,0.849897869,0.8700038336,0.5990518792,1.0645124536,0.0865391706,2.8563165902,5000
1,0.6,-0.0333136666,-0.0356573944,-0.0309559288,0,0,0,0.036602045,0.005377676,0.0024038038,0.0080992334,0.8470342842,0.8976364166,0.6014070632,1.0630990868,0.1056520784,2.8168154,5000
1,0.7,-0.0193069738,-0.021768455,-0.0169194992,0,0,0,0.0460413904,-0.0071996712,-0.0099653996,-0.0046849768,0.84115633,0.9315164566,0.5979833622,1.0614706712,0.1311377962,2.7753671406,5000
1,0.8,-0.0049170906,-0.0074478316,-0.0024259888,0,0,0,0.0545704822,0.0006759714,-0.0020368862,0.0032674776,0.8399973894,0.9640277154,0.6042349512,1.0595007472,0.1544545556,2.725573092,5000
1,0.9,0.0096169886,0.0072103966,0.0121646768,0,0,0,0.0658399076,-0.0043369842,-0.007183897,-0.001941833,0.8354352746,1.0080585716,0.6064876696,1.0568632778,0.1847861872,2.6688242534,5000
1,1,0.026887855,0.0244162098,0.0294477642,0,0,0,0.0777516894,-0.0004484156,-0.0034933928,0.0024969022,0.830328278,1.0548542686,0.6071873696,1.0538346278,0.2167928002,2.6039684444,5000
1,1.1,0.0406883058,0.038078119,0.0434276132,0,0,0,0.086870467,-0.002106386,-0.0049846806,0.0006750616,0.8259678078,1.0998069438,0.6089123426,1.0519418514,0.2398040186,2.5574336912,5000
1,1.2,0.0534404888,0.0507133978,0.055819283,0,0,0,0.0975727416,0.0016914744,-0.0007878016,0.0046371532,0.8220069866,1.1498589156,0.6117090328,1.0490239368,0.2674081992,2.5051946196,5000
1,1.3,0.0727724038,0.0699927606,0.0753323692,0,0,0,0.1094411648,-0.0029599666,-0.005681428,-0.0001229562,0.8166737336,1.2104215732,0.6140557534,1.0457949258,0.2976679488,2.4407391486,5000
1,1.4,0.0862007642,0.0834615172,0.088826757,0,0,0,0.1183294792,0.002787342,9.53382000000003e-05,0.005598515,0.8137175686,1.255450624,0.618053963,1.042379848,0.3206742,2.3880423338,5000
1,1.5,0.0981034332,0.0955628604,0.100479824,0,0,0,0.126574334,0.0004566694,-0.0025399114,0.0034202188,0.8097574298,1.3119589756,0.6201161016,1.0406911678,0.3397259078,2.3492614436,5000
1,1.6,0.1111572666,0.1086238148,0.1136846182,0,0,0,0.1354797468,0.0004401126,-0.0027857592,0.0032862702,0.8061438924,1.3661461974,0.623744922,1.0377354062,0.3627152046,2.2922941362,5000
1,1.7,0.1262991286,0.1237783094,0.1288660094,0,0,0,0.1450215044,-0.0007392404,-0.0040432254,0.0020804452,0.8029449834,1.419582269,0.6273062704,1.0347505036,0.387290882,2.2427719852,5000
1,1.8,0.136159446,0.1337135086,0.1385810948,0,0,0,0.1502803032,0.0037484026,0.000517778,0.0067054208,0.7993878136,1.4696761196,0.6291924418,1.0319131354,0.3997665612,2.2076609774,5000
1,1.9,0.142885403,0.1403938,0.145387358,0,0,0,0.1544127966,-0.0006867734,-0.003631441,0.0023081498,0.797331239,1.508437989,0.631178192,1.029926745,0.412223056,2.1818527884,5000
1,2,0.1483707676,0.1457627246,0.1508728966,0,0,0,0.1586329252,0.001367376,-0.001893311,0.0043109752,0.7957084106,1.5524861662,0.6340999266,1.0277350314,0.4193740614,2.1538706374,5000
0.9,0,-0.0742229718,-0.076159195,-0.0722741386,0,0,0,0.0121565286,-0.0001025784,-0.0028964632,0.0027917032,0.8590900722,0.8141639338,0.6001827352,1.0689902274,0.0360463904,2.942500237,5000
0.9,0.1,-0.068489081,-0.0704654482,-0.0665652636,0,0,0,0.0142194916,0.001489897,-0.0013161354,0.004258477,0.85715037,0.8190940458,0.5985718378,1.0679330278,0.0425700876,2.9323944034,5000
0.9,0.2,-0.0641270686,-0.066036924,-0.0620800862,0,0,0,0.0184685724,0.0006866724,-0.001821703,0.0032451952,0.8559752902,0.8308509722,0.5997488524,1.0673590778,0.0547486492,2.9171903888,5000
0.9,0.3,-0.057031489,-0.0591149732,-0.055139913,0,0,0,0.0228287516,0.00153515,-0.0011814624,0.00431528,0.8541523982,0.8454295736,0.6007523994,1.066161162,0.066798134,2.892451729,5000
0.9,0.4,-0.0476113738,-0.0499053372,-0.0452429522,0,0,0,0.0303680538,-0.0002453476,-0.0030278204,0.0026227026,0.8508704878,0.8641360888,0.5990931244,1.065461613,0.0883939374,2.8554109138,5000
0.9,0.5,-0.0364571876,-0.0387040152,-0.0344007202,0,0,0,0.036205547,0.0007241716,-0.0020611956,0.0035011604,0.8476373836,0.8855771974,0.5986350724,1.064092702,0.1050181712,2.8303312154,5000
0.9,0.6,-0.0251625566,-0.0274283744,-0.0231156532,0,0,0,0.0440234988,-0.0005913188,-0.0034627616,0.0020895486,0.8459629416,0.9104261046,0.602244323,1.0623240356,0.126861765,2.7883553474,5000
0.9,0.7,-0.0089111542,-0.011145191,-0.0065673902,0,0,0,0.056173449,-0.0008980032,-0.0037645296,0.002040612,0.840201661,0.9525661688,0.601574977,1.060496789,0.1596353684,2.7326508894,5000
0.9,0.8,0.0080173146,0.0054381846,0.0105806304,0,0,0,0.0702297948,-0.0046462116,-0.0076043372,-0.0017636598,0.835780161,0.9969599274,0.6044808268,1.0572354874,0.1970796046,2.6600187322,5000
0.9,0.9,0.0218673556,0.0192574864,0.0243495294,0,0,0,0.0811134646,0.0037332234,0.000876784,0.006590995,0.8326162316,1.038469593,0.6078511764,1.0553362666,0.2259260712,2.6034772896,5000
0.9,1,0.0407785126,0.038206347,0.0433377894,0,0,0,0.0946142094,0.0005422812,-0.0021008736,0.0031176992,0.826045644,1.0967159998,0.6086484214,1.0516466532,0.2619486872,2.537475078,5000
0.9,1.1,0.0537426246,0.0509750782,0.0563615836,0,0,0,0.105388544,-1.46130000000001e-05,-0.0026849916,0.0029503906,0.8227316744,1.1483020148,0.6133453502,1.0492267338,0.2911712796,2.482611301,5000
0.9,1.2,0.0732028342,0.0703936924,0.0756901118,0,0,0,0.1200930488,0.0014131196,-0.0015189688,0.004268277,0.8173625978,1.2096717632,0.6161259614,1.0452108168,0.3271550084,2.4068238462,5000
0.9,1.3,0.0896686502,0.0871205348,0.092399576,0,0,0,0.1322083392,-0.004704818,-0.007738721,-0.001734726,0.811965026,1.2672857194,0.618338804,1.0414599812,0.359571504,2.3407153768,5000
0.9,1.4,0.1018634618,0.099423894,0.1044239334,0,0,0,0.1401439422,-0.0036641552,-0.0066913696,-0.000589318,0.8090248054,1.3226550426,0.6223455786,1.0394135416,0.3784047528,2.300058332,5000
0.9,1.5,0.1118186796,0.1091487918,0.1144434614,0,0,0,0.1477006428,-0.0023167914,-0.0053667314,0.0004821786,0.807159113,1.3692510098,0.626281862,1.0372407442,0.397636484,2.2585710482,5000
0.9,1.6,0.1244582944,0.1218073392,0.1269933516,0,0,0,0.1577608144,0.0005387474,-0.0026899598,0.0036657804,0.803057608,1.4243880616,0.6282961948,1.0345697616,0.421916624,2.2077013714,5000
0.9,1.7,0.1382613288,0.135955556,0.1408640962,0,0,0,0.1649022234,0.0027861304,-0.00018267,0.0056741284,0.798882038,1.487935455,0.630174762,1.0319425462,0.4409840578,2.1649103312,5000
