"mim_val","mom_val","gam_val","mean_TM","LCI_Tm","UCI_Tm","mean_Rj","LCI_Rj","UCI_Rj","Gift","Neutral","LCI_Neutral","UCI_Neutral","M","Beta","M_m","F_m","Mf_nupt","Mf_no_nput","Replicates"
0.001,0.081,2,0.3079440625,0.3053725875,0.310300745625,0.04895263375,0.043932259375,0.053764556875,0.165646951875,-0.00138237875,-0.004824870625,0.001981808125,0.78627962125,1.68072280875,0.593985355,1.106445256875,0.465523639375,2.35554146375,1600
0.041,0.041,0,-0.05333657375,-0.0551279425,-0.051339655625,-0.03727469625,-0.039349264375,-0.03523042625,0.000589739375,-0.000271464375,-0.003311965625,0.00292359625,0.863623550625,0.82316206,0.60717518125,1.07448712,0.00189396,3.001735420625,1600
0.041,0.041,0.1,-0.047621126875,-0.04940717,-0.04582729,-0.039573751875,-0.04167721625,-0.03749351375,0.000843618125,-0.000575565,-0.0039106025,0.00255606375,0.86270955,0.824190558125,0.606377566875,1.07375619875,0.00256998625,3.002405290625,1600
0.041,0.041,0.2,-0.043943999375,-0.04625685125,-0.041931635625,-0.035935623125,-0.038215073125,-0.0337382825,0.00153976375,0.000715194375,-0.002620823125,0.00408319,0.8650177925,0.82308234625,0.609662303125,1.07483869625,0.004572568125,2.99782596125,1600
0.041,0.041,0.3,-0.03830749875,-0.04031057,-0.03613198125,-0.039472581875,-0.041628048125,-0.037218441875,0.002425215,0.00062067,-0.002572245625,0.003776014375,0.858845220625,0.8329731175,0.6002525475,1.074055666875,0.007599535,2.993910665625,1600
0.041,0.041,0.4,-0.030655429375,-0.03274362125,-0.02835451125,-0.0372626025,-0.039379231875,-0.03493603375,0.00473451375,-0.001165280625,-0.004365801875,0.001986130625,0.86003720875,0.83300839625,0.605336516875,1.07203192625,0.014491538125,2.97911173875,1600
0.041,0.041,0.5,-0.016379780625,-0.019111408125,-0.0136062575,-0.036328155,-0.038612275,-0.034079809375,0.0104054875,0.00279637375,-0.000701038125,0.006248414375,0.855812385625,0.854195525625,0.601235181875,1.072344075,0.0320438925,2.95448863375,1600
0.041,0.041,0.6,0.006721524375,0.003527718125,0.01001266625,-0.03622623875,-0.0383991975,-0.033913336875,0.019587051875,9.13781249999998e-05,-0.003211740625,0.003392275625,0.854650489375,0.879304585625,0.606407286875,1.071714291875,0.060298765625,2.910352643125,1600
0.041,0.041,0.7,0.040276924375,0.03648100625,0.0439586925,-0.03443305625,-0.036769518125,-0.032178606875,0.036157875625,-0.001712605625,-0.00493757375,0.001470265,0.848608765625,0.930369036875,0.60891170625,1.06982601875,0.110157215,2.821882726875,1600
0.041,0.041,0.8,0.07774671625,0.07416819875,0.08144789,-0.033501670625,-0.035777684375,-0.031299768125,0.054699218125,-4.364125e-05,-0.00318645125,0.003390140625,0.840749625,0.994617864375,0.611123430625,1.06712291375,0.16560086875,2.724886175625,1600
0.041,0.041,0.9,0.108218838125,0.10445383375,0.11177302125,-0.029711254375,-0.03217194375,-0.027194965625,0.07183085625,-0.003949775625,-0.0072172275,-0.000700696875,0.833163911875,1.05989094,0.61218873625,1.065015896875,0.211452898125,2.642181193125,1600
0.041,0.041,1,0.144204366875,0.140923196875,0.14791261875,-0.028496289375,-0.030965131875,-0.02598470625,0.089757773125,-0.001863573125,-0.005052204375,0.0013644525,0.825950640625,1.13244977625,0.61467919875,1.062681611875,0.264286915,2.55258046,1600
0.041,0.041,1.1,0.1673385625,0.163837394375,0.170453521875,-0.02805746875,-0.030798716875,-0.025236859375,0.102100989375,0.002657125625,-0.0006006925,0.00589861375,0.820248146875,1.187611345,0.616860169375,1.059339350625,0.295329021875,2.479092394375,1600
0.041,0.041,1.2,0.19497181625,0.1911174175,0.198337630625,-0.019771343125,-0.022778029375,-0.0166690825,0.11560306125,-0.001438483125,-0.004679715625,0.00184298875,0.81705634375,1.24788173125,0.621225465,1.058695289375,0.3305335725,2.41227289875,1600
