"a1_val","gam_val","mean_TM","LCI_Tm","UCI_Tm","mean_Rj","LCI_Rj","UCI_Rj","Gift","Neutral","LCI_Neutral","UCI_Neutral","M","Beta","M_m","F_m","Mf_nupt","Mf_no_nput","Replicates"
0.7,0,-0.0721803072,-0.0741898208,-0.0703304278,-0.0988391956,-0.1005653658,-0.0970372388,0.0152579228,0.0008197972,-0.002122738,0.0033190562,0.8617277714,0.811371772,0.6018868304,1.0717269742,0.0463401116,2.9348016002,5000
0.7,0.1,-0.0674900518,-0.0693784588,-0.0656476908,-0.09500798,-0.0969679594,-0.0932639724,0.0194546498,-0.000630144,-0.0034952552,0.0021525754,0.8603977316,0.8232679036,0.6020325716,1.0718561862,0.057679697,2.918776033,5000
0.7,0.2,-0.0578140536,-0.0598509442,-0.056065251,-0.0961898302,-0.0979917886,-0.0943546874,0.026408778,0.0063869526,0.0035095944,0.009272631,0.8577707082,0.83998909,0.6012465348,1.0711357928,0.0775435542,2.8858503338,5000
0.7,0.3,-0.0526899462,-0.054917763,-0.050621952,-0.0932376048,-0.0949400756,-0.0914827958,0.0334923458,0.002561138,-0.0002116292,0.005347076,0.8559087956,0.856807677,0.60325252,1.0699521608,0.0979586944,2.8529551992,5000
0.7,0.4,-0.038067997,-0.040281447,-0.0358556184,-0.0927548588,-0.0946692868,-0.0908602214,0.0440486216,0.0011401534,-0.001559412,0.0038605194,0.852055071,0.880773755,0.6026268094,1.0680917936,0.1272799272,2.808033428,5000
0.7,0.5,-0.0181010722,-0.0202243382,-0.015807835,-0.0965628042,-0.098518621,-0.0947434286,0.0616770246,-0.0044226232,-0.0071140014,-0.001368783,0.8466922236,0.9261314252,0.6034712072,1.066023289,0.1756699104,2.7308796352,5000
0.7,0.6,-0.0008427118,-0.003113325,0.001467757,-0.0904412782,-0.092145827,-0.0886440842,0.0791828202,0.0018724684,-0.0009391342,0.004660905,0.8432811088,0.975628761,0.6085021254,1.0645097982,0.2228943356,2.652540261,5000
0.7,0.7,0.0226792282,0.0202403088,0.0250431658,-0.0896509062,-0.091657827,-0.087832379,0.0977301902,0.0011098096,-0.0016941372,0.0037737868,0.8380835852,1.0336174366,0.610979811,1.0630321422,0.2702158206,2.5670869564,5000
0.7,0.8,0.039693748,0.0373088886,0.0423280198,-0.087442021,-0.0894299658,-0.0853393306,0.1160023166,0.0017028968,-0.0013415224,0.004496616,0.8344666322,1.0924444228,0.6149073056,1.0626354772,0.3184777866,2.4875740204,5000
0.7,0.9,0.0647528352,0.0621868028,0.0672255302,-0.0814567,-0.083500438,-0.0794022776,0.1381852676,0.0042585776,0.0014612498,0.0069144452,0.8306487596,1.1709566028,0.6217376404,1.0617189294,0.3718174014,2.3903557368,5000
0.7,1,0.0860054756,0.083555585,0.088614332,-0.0696188114,-0.0717236296,-0.067398477,0.1573792842,-0.001788532,-0.0047353194,0.0011215942,0.8300293946,1.2425156908,0.6304142722,1.0630341918,0.4145227718,2.3049576108,5000
0.7,1.1,0.1009862754,0.098451696,0.1036338484,-0.0572408186,-0.0595767556,-0.0551273462,0.1734970538,0.0066012206,0.0038011774,0.0096117832,0.8366684142,1.3129189806,0.6449271416,1.0732991802,0.4457264634,2.2424044912,5000
0.7,1.2,0.123872192,0.121575813,0.1264967748,-0.0335580296,-0.0362504204,-0.030953665,0.1938789022,0.0038216014,0.0007951104,0.0067220072,0.8467578432,1.4005608954,0.6629077662,1.0885405184,0.4780298022,2.1682512258,5000
0.7,1.3,0.1357988844,0.1332342204,0.1384590798,-0.0182862768,-0.0210643336,-0.0154581332,0.205718666,0.0006111204,-0.0027304082,0.0036703346,0.8609465814,1.4615774456,0.6833919994,1.103989223,0.4903187578,2.1311630458,5000
0.7,1.4,0.1512930108,0.1489010854,0.1536271164,0.0046595008,0.001675916,0.0073816074,0.2193843228,0.0045332654,0.0012457218,0.0074960874,0.8780374138,1.5335650964,0.7069650976,1.1243087904,0.5044455702,2.090721074,5000
0.7,1.5,0.168982199,0.1664628282,0.1714052174,0.0324939434,0.0293308646,0.035551793,0.2343107782,0.0024977704,-0.000752222,0.005606591,0.9017048382,1.6104782582,0.7368906904,1.1513015196,0.5126611082,2.052992868,5000
0.7,1.6,0.1832528914,0.1807728258,0.1854596274,0.0571276492,0.0540328822,0.060601682,0.2458617266,-0.000965748,-0.0041368,0.002143795,0.925249673,1.6917892626,0.7667537258,1.1779827828,0.5159153432,2.0282968924,5000
0.7,1.7,0.1968276972,0.1945237076,0.1989668282,0.0803521934,0.0767803608,0.0836086884,0.255736518,-0.0036155258,-0.0067075642,-0.000444018,0.950256597,1.7623027852,0.7971363792,1.2054403846,0.5151484518,2.0078766606,5000
0.7,1.8,0.2086790978,0.2064245154,0.211028283,0.1013292116,0.0979383354,0.1047357852,0.2645128632,0.0003733564,-0.002687494,0.003411072,0.9768839694,1.837023066,0.828229624,1.2343092444,0.5116992716,1.9987290718,5000
0.7,1.9,0.2175266618,0.215081269,0.2199609544,0.1262648624,0.1226274282,0.1296646426,0.2709846602,-0.000655749,-0.0039751512,0.0025614092,1.0060563636,1.8995219118,0.8621382482,1.2634616972,0.4972116662,1.9917313814,5000
0.7,2,0.2307741362,0.228517961,0.2330509464,0.1480200746,0.1446159748,0.1513826996,0.2796431508,0.0031669044,-0.000129101,0.0062310744,1.0325689768,1.9698900286,0.8926471038,1.2929045244,0.4953237224,1.9783239454,5000
0.6,0,-0.0726766062,-0.074586096,-0.0708970636,-0.094170818,-0.096050268,-0.092387305,0.0179114874,-0.0009259978,-0.0036177118,0.0017583344,0.86062605,0.8148342844,0.6005289686,1.07170059,0.0538407108,2.9305709232,5000
0.6,0.1,-0.066329893,-0.0683709242,-0.0643104952,-0.0950626552,-0.0968754872,-0.0930751618,0.0235141302,0.0027367262,4.64933999999998e-05,0.0056975464,0.8595770286,0.8259798018,0.60108288,1.0717757096,0.0690653708,2.9046013676,5000
0.6,0.2,-0.0566199466731898,-0.0589335445205479,-0.0544400477005871,-0.0945222387475538,-0.096613123776908,-0.0926990890410959,0.0315856061643836,0.000916899706457925,-0.00210215435420744,0.00387105381604697,0.857069145058708,0.842801375978474,0.601418996330724,1.07066617514677,0.0923016597358121,2.87069276736791,4088
0.6,0.3,-0.04386329175,-0.0463375235,-0.04152455475,-0.09412638575,-0.09613684625,-0.0922564755,0.0460208825,2.583625e-05,-0.00311958025,0.003090333,0.8543698935,0.86722907075,0.6022554705,1.06973743875,0.13331500775,2.81055917,4000
0.6,0.4,-0.02650484125,-0.02904877675,-0.0240427055,-0.09520157925,-0.09729416875,-0.0930751725,0.06209159775,-0.0013212085,-0.0043792875,0.00200346175,0.848106267,0.906662157,0.6028547805,1.06592259875,0.17790596925,2.73755997425,4000
0.6,0.5,-0.0101358295,-0.01288978525,-0.00740640175,-0.09053114925,-0.092547761,-0.0884063625,0.080289656,0.00131372175,-0.00182772625,0.00433471225,0.84371515575,0.9525576555,0.6046030675,1.06497219125,0.22625899825,2.6625681795,4000
0.6,0.6,0.015456367,0.0127383605,0.0183507455,-0.08884030275,-0.09088725325,-0.08682747325,0.1049723885,0.00199566475,-0.0011388825,0.0052006995,0.838535416,1.0181566655,0.6089044005,1.0632498825,0.2925588375,2.55454465525,4000
0.6,0.7,0.04428305025,0.04129780125,0.04702803425,-0.08480469925,-0.08701137375,-0.08263641025,0.13603819525,0.0032789035,7.91545e-05,0.00624033075,0.83389572425,1.10144227725,0.61724602275,1.0608659765,0.37112279625,2.42379065125,4000
0.6,0.8,0.063966767,0.06100215475,0.06665594475,-0.079221971,-0.08151804125,-0.0769631555,0.155944964,0.001665771,-0.001422941,0.00477313025,0.83229293125,1.1664287855,0.623200659,1.063032713,0.41842251875,2.341434248,4000
0.6,0.9,0.08884846075,0.0859988505,0.09134930775,-0.0684092875,-0.07101152875,-0.06588659175,0.180598966,0.000299605,-0.00273255475,0.0036325865,0.8324552835,1.25335198725,0.634866162,1.06634514725,0.47629657225,2.237523153,4000
0.6,1,0.1036683645,0.10081933,0.1065026985,-0.05196045275,-0.05468732725,-0.0494142465,0.196694804,0.0015982745,-0.001614623,0.004967791,0.839349758,1.319693685,0.64789130275,1.077700397,0.504232515,2.18585999925,4000
0.6,1.1,0.130801281,0.12808492275,0.133263426,-0.027227757,-0.03014745325,-0.024149214,0.22440017825,0.0009782385,-0.00227592775,0.00403489875,0.85005084925,1.42609725425,0.66969136,1.093024056,0.551793171,2.08182976875,4000
0.6,1.2,0.1450429725,0.14245867,0.147688752,0.00236827525,-0.00086086525,0.00564977475,0.23999891275,0.00099289275,-0.00225616075,0.00441626375,0.8725821055,1.49656791175,0.69853089525,1.11853577675,0.56232686075,2.04560621225,4000
0.6,1.3,0.1596250345,0.15691432,0.162385046,0.02566426225,0.02209865925,0.0289945755,0.25408554875,0.00563887425,0.002061148,0.009069091,0.89258176575,1.57468316325,0.7256533305,1.14103992975,0.57096173075,2.0112334585,4000
0.6,1.4,0.17837509325,0.17582875625,0.1808989605,0.05607575625,0.05259331875,0.05962652225,0.2695340765,0.000716192,-0.002985824,0.00415334525,0.91938520575,1.66155020375,0.7578211485,1.17373222725,0.5741015885,1.97634965475,4000
0.6,1.5,0.19069523025,0.188096359,0.193297409,0.0784658735,0.0746739885,0.08196262975,0.28002108775,0.00031173225,-0.00319321825,0.00380704425,0.94494423875,1.735399182,0.789673406,1.19936239575,0.5694199765,1.96042182025,4000
0.6,1.6,0.207173271,0.2047015175,0.2095106165,0.11260720225,0.10864618,0.11625420725,0.29411945525,0.0001035775,-0.00317648525,0.0039736785,0.97929257575,1.827868422,0.83065521525,1.23699146875,0.56826954425,1.93691908875,4000
0.6,1.7,0.22009243875,0.2176598145,0.22245516425,0.133823101,0.1298182415,0.13759827775,0.303814613,0.0040386425,0.0005228955,0.007641002,1.004238995,1.90253047925,0.85971602375,1.2657735675,0.56537068,1.928351428,4000
0.6,1.8,0.2305771775,0.2280651155,0.23291774775,0.159492321,0.15550778625,0.1637017405,0.31057545875,0.00050533375,-0.0030456565,0.00418214775,1.0380785835,1.9905348,0.897614455,1.30426629625,0.5507739585,1.93286839225,4000
